Original Token,Lemmatized Token
Honestly,Honestly
last,last
seven,seven
lectures,lecture
are,are
good,good
.,.
Lectures,Lectures
are,are
understandable,understandable
.,.
Lecture,Lecture
slides,slide
are,are
very,very
useful,useful
to,to
self-study,self-study
also,also
.,.
The,The
given,given
opportunity,opportunity
to,to
ask,ask
questions,question
from,from
the,the
lecturer,lecturer
is,is
appreciative,appreciative
.,.
``,``
Good,Good
:,:
),)
<,<
br,br
/,/
>,>
please,please
do,do
recap,recap
at,at
class,class
starting,starting
it,it
&,&
#,#
039,039
;,;
s,s
better,better
for,for
us,u
.,.
<,<
br,br
/,/
>,>
sometimes,sometimes
teaching,teaching
speed,speed
is,is
very,very
high,high
.,.
<,<
br,br
/,/
>,>
<,<
br,br
/,/
>,>
Thanks,Thanks
!,!
:,:
),)
<,<
br,br
/,/
>,>
``,``
The,The
lectures,lecture
are,are
good..but,good..but
a,a
bit,bit
speed.A,speed.A
in,in
class,class
working,working
activity,activity
is,is
a,a
must,must
one.So,one.So
please,please
take,take
another,another
hour,hour
in,in
thursdays,thursday
madame.,madame.
'',''
<,<
br,br
/,/
>,>
We,We
can,can
hear,hear
your,your
voice,voice
clearly,clearly
and,and
can,can
understand,understand
the,the
things,thing
you,you
teach,teach
.,.
Presentation,Presentation
slides,slide
also,also
good,good
source,source
to,to
refer,refer
.,.
lf,lf
you,you
can,can
do,do
more,more
example,example
questions,question
within,within
the,the
classroom,classroom
and,and
it,it
will,will
help,help
us,u
to,to
understand,understand
the,the
principles,principle
well,well
.,.
<,<
br,br
/,/
>,>
'',''
Lectures,Lectures
was,wa
well,well
structured,structured
and,and
well,well
organized,organized
.,.
It,It
was,wa
easy,easy
to,to
understand,understand
.,.
Lecture,Lecture
slides,slide
and,and
labs,lab
were,were
also,also
well,well
organized,organized
.,.
Lectures,Lectures
were,were
good,good
.,.
understandable,understandable
.,.
The,The
lecture,lecture
slides,slide
were,were
well,well
organized,organized
and,and
the,the
examples,example
done,done
in,in
the,the
class,class
helped,helped
a,a
lot,lot
to,to
learn,learn
this,this
new,new
language,language
and,and
also,also
the,the
principles,principle
of,of
OOP,OOP
.,.
Motivated,Motivated
to,to
well,well
.,.
Would,Would
have,have
been,been
better,better
if,if
we,we
discussed,discussed
more,more
about,about
the,the
solutions,solution
of,of
coding,coding
exercisers,exerciser
.,.
I,I
think,think
i,i
learned,learned
a,a
lot,lot
from,from
the,the
codes,code
you,you
write,write
in,in
the,the
board,board
.,.
When,When
i,i
compare,compare
my,my
codes,code
with,with
yours,yours
i,i
can,can
learn,learn
about,about
my,my
mistakes,mistake
and,and
good,good
coding,coding
practices,practice
that,that
i,i
should,should
follow,follow
.,.
There,There
fore,fore
i,i
think,think
it,it
would,would
be,be
great,great
if,if
we,we
can,can
discuss,discus
more,more
examples,example
in,in
the,the
class,class
.,.
madam,madam
explained,explained
the,the
oop,oop
concepts,concept
clearly,clearly
with,with
examples.lectures,examples.lectures
were,were
interesting.we,interesting.we
want,want
more,more
scenario,scenario
examples,example
and,and
answers,answer
with,with
explanations,explanation
in,in
future,future
.,.
I,I
satisfy,satisfy
about,about
first,first
7,7
lectures,lecture
.,.
That,That
way,way
of,of
teaching,teaching
is,is
really,really
good,good
for,for
coming,coming
lectures,lecture
too,too
.,.
lectuers,lectuers
are,are
very,very
good,good
.,.
take,take
good,good
effort,effort
to,to
make,make
undersatand,undersatand
every,every
student,student
in,in
the,the
room,room
.,.
very,very
helpfull,helpfull
.,.
I,I
was,wa
able,able
to,to
obtain,obtain
a,a
clear,clear
picture,picture
about,about
OOP,OOP
and,and
its,it
concepts,concept
.,.
``,``
lecture,lecture
slides,slide
,,,
explanations,explanation
were,were
very,very
clear,clear
.,.
<,<
br,br
/,/
>,>
it,it
&,&
#,#
039,039
;,;
s,s
very,very
good,good
to,to
letting,letting
ask,ask
questions,question
and,and
explain,explain
again,again
with,with
suitable,suitable
examples,example
.,.
<,<
br,br
/,/
>,>
sometimes,sometimes
,,,
some,some
codes,code
on,on
white,white
board,board
were,were
unclear,unclear
at,at
the,the
back,back
.,.
<,<
br,br
/,/
>,>
overall,overall
very,very
good,good
!,!
!,!
!,!
<,<
br,br
/,/
>,>
'',''
The,The
lectures,lecture
were,were
good,good
and,and
clear,clear
.,.
And,And
they,they
weren,weren
&,&
#,#
039,039
;,;
t,t
too,too
fast,fast
.,.
Writing,Writing
code,code
was,wa
somewhat,somewhat
confusing,confusing
because,because
I,I
didn,didn
&,&
#,#
039,039
;,;
t,t
know,know
java,java
before,before
.,.
Actually,Actually
teaching,teaching
is,is
very,very
good,good
and,and
can,can
understand,understand
easily,easily
the,the
concepts,concept
by,by
examples,example
which,which
are,are
given,given
in,in
the,the
class.it,class.it
will,will
be,be
more,more
helpful,helpful
if,if
provide,provide
solved,solved
questions,question
as,a
well,well
!,!
.,.
thankyou,thankyou
